experiment_id	chrom	start	end	strand	genomic_SCD	orientation	background_index	flank_bp	spacer_bp
0	chr12	35192361	35192380	+	53.78	>>	1	20	0
1	chr2	48886252	48886271	-	53.7	>>	1	20	0
2	chr12	35192359	35192378	-	53.66	>>	1	20	0
3	chr8	102781112	102781131	-	53.5	>>	1	20	0
4	chr5	49961991	49962010	-	53.3	>>	1	20	0
5	chr9	26776356	26776375	-	53.12	>>	1	20	0
6	chr9	51152589	51152608	-	53.06	>>	1	20	0
7	chr8	58566264	58566283	+	52.88	>>	1	20	0
8	chr12	40837731	40837750	+	52.84	>>	1	20	0
9	chr8	36523116	36523135	-	52.5	>>	1	20	0
10	chr6	101261721	101261740	-	52.5	>>	1	20	0
11	chr11	57467954	57467973	-	52.38	>>	1	20	0
12	chr4	70621534	70621553	-	52.28	>>	1	20	0
13	chr2	101905952	101905971	+	52.25	>>	1	20	0
14	chr13	19698902	19698921	+	51.94	>>	1	20	0
15	chr16	13117402	13117421	+	51.94	>>	1	20	0
16	chr9	63136044	63136063	+	51.75	>>	1	20	0
17	chr12	92303369	92303388	+	51.62	>>	1	20	0
18	chr11	31949597	31949616	-	51.56	>>	1	20	0
19	chr9	49494116	49494135	+	51.2	>>	1	20	0
20	chr12	17554295	17554314	+	51.2	>>	1	20	0
21	chr9	88222169	88222188	-	51.16	>>	1	20	0
22	chr1	55404542	55404561	+	51.12	>>	1	20	0
23	chr12	57825931	57825950	+	51.06	>>	1	20	0
24	chr3	57843966	57843985	+	50.94	>>	1	20	0
25	chr16	22564764	22564783	+	50.8	>>	1	20	0
26	chr7	132213675	132213694	-	50.6	>>	1	20	0
27	chr16	72215914	72215933	-	50.38	>>	1	20	0
28	chr18	16217031	16217050	+	50.2	>>	1	20	0
29	chr11	113165297	113165316	-	50.12	>>	1	20	0
30	chr14	34810922	34810941	+	49.88	>>	1	20	0
31	chr17	83271677	83271696	+	49.25	>>	1	20	0
32	chr12	78056172	78056191	+	49.12	>>	1	20	0
33	chr16	89765679	89765698	-	49.0	>>	1	20	0
34	chr13	112264852	112264871	-	48.94	>>	1	20	0
35	chr13	112264855	112264874	-	48.88	>>	1	20	0
36	chr2	118638274	118638293	+	48.7	>>	1	20	0
37	chr15	32766466	32766485	-	48.47	>>	1	20	0
38	chr1	21411386	21411405	+	48.44	>>	1	20	0
39	chr6	43686121	43686140	+	48.3	>>	1	20	0
40	chr13	30260113	30260132	-	48.25	>>	1	20	0
41	chr9	60245108	60245127	+	47.97	>>	1	20	0
42	chr1	103799500	103799519	+	47.94	>>	1	20	0
43	chr7	86211545	86211564	-	47.94	>>	1	20	0
44	chr11	40149490	40149509	-	47.47	>>	1	20	0
45	chr11	25862970	25862989	-	47.2	>>	1	20	0
46	chr16	72218208	72218227	+	47.12	>>	1	20	0
47	chr15	44836383	44836402	+	47.12	>>	1	20	0
48	chr16	64748436	64748455	-	47.0	>>	1	20	0
49	chr3	14679375	14679394	+	46.8	>>	1	20	0
50	chr17	86906315	86906334	-	46.8	>>	1	20	0
51	chr18	57976796	57976815	+	46.8	>>	1	20	0
52	chr6	13281045	13281064	-	46.75	>>	1	20	0
53	chr12	17554309	17554328	-	46.62	>>	1	20	0
54	chr3	68056531	68056550	+	46.62	>>	1	20	0
55	chr3	9711102	9711121	+	46.56	>>	1	20	0
56	chr16	37109440	37109459	+	46.34	>>	1	20	0
57	chr16	96671788	96671807	-	46.06	>>	1	20	0
58	chr3	153655299	153655318	-	46.06	>>	1	20	0
59	chr18	58481865	58481884	-	45.88	>>	1	20	0
60	chr7	125393828	125393847	-	45.75	>>	1	20	0
61	chr16	25349805	25349824	-	45.62	>>	1	20	0
62	chr4	74231656	74231675	-	45.38	>>	1	20	0
63	chr4	74231658	74231677	+	45.22	>>	1	20	0
64	chr13	89543209	89543228	-	45.2	>>	1	20	0
65	chr1	179477243	179477262	-	45.0	>>	1	20	0
66	chr4	127368529	127368548	+	44.75	>>	1	20	0
67	chr3	25220803	25220822	-	44.62	>>	1	20	0
68	chr12	41487217	41487236	-	44.56	>>	1	20	0
69	chr14	102510621	102510640	-	44.4	>>	1	20	0
70	chr4	25180062	25180081	-	44.38	>>	1	20	0
71	chr3	31146116	31146135	+	44.2	>>	1	20	0
72	chr16	58299639	58299658	+	44.12	>>	1	20	0
73	chr5	16309782	16309801	+	43.94	>>	1	20	0
74	chr7	118102436	118102455	-	43.88	>>	1	20	0
75	chr5	16309780	16309799	-	43.75	>>	1	20	0
76	chr13	51830906	51830925	+	43.62	>>	1	20	0
77	chr6	100882571	100882590	+	43.6	>>	1	20	0
78	chr1	54381456	54381475	-	43.56	>>	1	20	0
79	chr7	143153991	143154010	+	43.38	>>	1	20	0
80	chr9	122729740	122729759	-	43.3	>>	1	20	0
81	chr2	113494885	113494904	+	43.2	>>	1	20	0
82	chr13	113877596	113877615	+	43.12	>>	1	20	0
83	chr12	74013946	74013965	-	43.12	>>	1	20	0
84	chr1	120586652	120586671	+	43.1	>>	1	20	0
85	chr17	42603598	42603617	-	43.06	>>	1	20	0
86	chr8	50293731	50293750	-	42.88	>>	1	20	0
87	chr1	5905000	5905019	-	42.8	>>	1	20	0
88	chr16	27468962	27468981	+	42.75	>>	1	20	0
89	chr15	70921072	70921091	-	42.62	>>	1	20	0
90	chr8	91797706	91797725	+	42.6	>>	1	20	0
91	chr3	80079950	80079969	+	42.5	>>	1	20	0
92	chr18	16211890	16211909	-	42.47	>>	1	20	0
93	chr3	113080921	113080940	-	42.47	>>	1	20	0
94	chr2	17415562	17415581	-	42.34	>>	1	20	0
95	chr7	49121484	49121503	-	42.3	>>	1	20	0
96	chr18	16211892	16211911	+	42.3	>>	1	20	0
97	chr8	26184368	26184387	+	42.22	>>	1	20	0
98	chr2	37815860	37815879	+	42.2	>>	1	20	0
99	chr6	6005818	6005837	+	42.06	>>	1	20	0
100	chr2	27771666	27771685	-	0.05875	>>	1	20	0
101	chr9	51333610	51333629	-	0.05902	>>	1	20	0
102	chr1	35713888	35713907	+	0.05902	>>	1	20	0
103	chr11	57783694	57783713	-	0.06	>>	1	20	0
104	chr6	94057464	94057483	+	0.06033	>>	1	20	0
105	chr16	23157002	23157021	-	0.0607	>>	1	20	0
106	chr11	102262359	102262378	-	0.06146	>>	1	20	0
107	chr9	71627181	71627200	+	0.06238	>>	1	20	0
108	chr13	109771756	109771775	+	0.063	>>	1	20	0
109	chr11	32340269	32340288	+	0.06323	>>	1	20	0
110	chr7	143479908	143479927	+	0.0636	>>	1	20	0
111	chr2	160592247	160592266	+	0.06445	>>	1	20	0
112	chr5	147936524	147936543	+	0.06464	>>	1	20	0
113	chr2	31681471	31681490	+	0.0647	>>	1	20	0
114	chr11	102264619	102264638	-	0.0648	>>	1	20	0
115	chr9	51332680	51332699	-	0.06537	>>	1	20	0
116	chr6	122608718	122608737	-	0.0658	>>	1	20	0
117	chr12	12419548	12419567	-	0.06604	>>	1	20	0
118	chr8	115081358	115081377	-	0.06604	>>	1	20	0
119	chr9	59675304	59675323	+	0.0661	>>	1	20	0
120	chr1	85845211	85845230	+	0.0662	>>	1	20	0
121	chr7	68361630	68361649	-	0.0665	>>	1	20	0
122	chr7	27165173	27165192	+	0.0668	>>	1	20	0
123	chr11	87951032	87951051	+	0.0669	>>	1	20	0
124	chr15	74522072	74522091	-	0.06757	>>	1	20	0
125	chr1	136526154	136526173	-	0.0676	>>	1	20	0
126	chr7	121644706	121644725	+	0.0677	>>	1	20	0
127	chr11	57465018	57465037	-	0.06805	>>	1	20	0
128	chr6	31666754	31666773	-	0.0681	>>	1	20	0
129	chr1	119089358	119089377	-	0.0688	>>	1	20	0
130	chr6	91144406	91144425	-	0.06885	>>	1	20	0
131	chr6	53755637	53755656	-	0.06885	>>	1	20	0
132	chr15	73799759	73799778	+	0.0689	>>	1	20	0
133	chr12	35196325	35196344	+	0.06915	>>	1	20	0
134	chr3	107604713	107604732	+	0.06915	>>	1	20	0
135	chr19	16339988	16340007	+	0.0697	>>	1	20	0
136	chr11	117382598	117382617	-	0.0698	>>	1	20	0
137	chr2	37810865	37810884	+	0.0699	>>	1	20	0
138	chr8	62082085	62082104	-	0.0706	>>	1	20	0
139	chr2	155815946	155815965	-	0.0707	>>	1	20	0
140	chr1	189256297	189256316	-	0.07104	>>	1	20	0
141	chr4	143024402	143024421	-	0.07117	>>	1	20	0
142	chr6	54251572	54251591	+	0.0715	>>	1	20	0
143	chr16	24827277	24827296	+	0.07166	>>	1	20	0
144	chr4	107707733	107707752	-	0.07214	>>	1	20	0
145	chr2	180785278	180785297	+	0.07227	>>	1	20	0
146	chr7	100887357	100887376	-	0.07227	>>	1	20	0
147	chr4	107363933	107363952	-	0.0724	>>	1	20	0
148	chr15	11031216	11031235	+	0.07263	>>	1	20	0
149	chr7	118106474	118106493	+	0.07263	>>	1	20	0
150	chr2	155816480	155816499	-	0.07263	>>	1	20	0
151	chr16	13431945	13431964	+	0.07263	>>	1	20	0
152	chr9	31097502	31097521	+	0.0729	>>	1	20	0
153	chr6	54253874	54253893	+	0.0729	>>	1	20	0
154	chr8	36197827	36197846	+	0.0736	>>	1	20	0
155	chr17	27192909	27192928	-	0.0738	>>	1	20	0
156	chr6	112489407	112489426	+	0.074	>>	1	20	0
157	chr18	65277708	65277727	-	0.0741	>>	1	20	0
158	chr2	170412640	170412659	+	0.0741	>>	1	20	0
159	chr6	112482766	112482785	-	0.07477	>>	1	20	0
160	chr11	103336559	103336578	-	0.0749	>>	1	20	0
161	chr8	111303982	111304001	+	0.075	>>	1	20	0
162	chr12	8309973	8309992	-	0.07544	>>	1	20	0
163	chr1	146518783	146518802	-	0.07556	>>	1	20	0
164	chr13	51191001	51191020	+	0.0757	>>	1	20	0
165	chr5	117091021	117091040	-	0.07574	>>	1	20	0
166	chr1	180817862	180817881	-	0.07574	>>	1	20	0
